Name	Comment	Type	Group	Loc	Orient	Weight
"[""t'1""]"	[]	['SEEG']	[]	[[-22], [10], [-32]]	[]	[[1]]
"[""t'2""]"	[]	['SEEG']	[]	[[-25], [10], [-32]]	[]	[[1]]
"[""t'3""]"	[]	['SEEG']	[]	[[-28], [10], [-32]]	[]	[[1]]
"[""t'4""]"	[]	['SEEG']	[]	[[-31], [10], [-32]]	[]	[[1]]
"[""t'5""]"	[]	['SEEG']	[]	[[-34], [10], [-32]]	[]	[[1]]
"[""t'6""]"	[]	['SEEG']	[]	[[-37], [10], [-32]]	[]	[[1]]
"[""t'7""]"	[]	['SEEG']	[]	[[-40], [10], [-32]]	[]	[[1]]
"[""t'8""]"	[]	['SEEG']	[]	[[-43], [10], [-32]]	[]	[[1]]
"[""t'9""]"	[]	['SEEG']	[]	[[-46], [10], [-32]]	[]	[[1]]
"[""t'10""]"	[]	['SEEG']	[]	[[-49], [10], [-32]]	[]	[[1]]
"[""o'1""]"	[]	['SEEG']	[]	[[-2], [7], [-27]]	[]	[[1]]
"[""o'2""]"	[]	['SEEG']	[]	[[-5], [27], [-25]]	[]	[[1]]
"[""o'3""]"	[]	['SEEG']	[]	[[-8], [27], [-23]]	[]	[[1]]
"[""o'4""]"	[]	['SEEG']	[]	[[-11], [27], [-21]]	[]	[[1]]
"[""o'5""]"	[]	['SEEG']	[]	[[-14], [27], [-19]]	[]	[[1]]
"[""o'6""]"	[]	['SEEG']	[]	[[-17], [27], [-18]]	[]	[[1]]
"[""o'7""]"	[]	['SEEG']	[]	[[-20], [27], [-16]]	[]	[[1]]
"[""o'8""]"	[]	['SEEG']	[]	[[-23], [27], [-14]]	[]	[[1]]
"[""o'9""]"	[]	['SEEG']	[]	[[-26], [27], [-13]]	[]	[[1]]
"[""o'10""]"	[]	['SEEG']	[]	[[-30], [27], [-11]]	[]	[[1]]
"[""oc'1""]"	[]	['SEEG']	[]	[[-35], [-4], [11]]	[]	[[1]]
"[""oc'2""]"	[]	['SEEG']	[]	[[-38], [-4], [11]]	[]	[[1]]
"[""oc'3""]"	[]	['SEEG']	[]	[[-41], [-4], [11]]	[]	[[1]]
"[""oc'4""]"	[]	['SEEG']	[]	[[-44], [-4], [11]]	[]	[[1]]
"[""oc'5""]"	[]	['SEEG']	[]	[[-47], [-4], [11]]	[]	[[1]]
"[""oc'6""]"	[]	['SEEG']	[]	[[-50], [-4], [11]]	[]	[[1]]
"[""oc'7""]"	[]	['SEEG']	[]	[[-53], [-4], [11]]	[]	[[1]]
"[""oc'8""]"	[]	['SEEG']	[]	[[-56], [-4], [11]]	[]	[[1]]
"[""oc'9""]"	[]	['SEEG']	[]	[[-59], [-4], [11]]	[]	[[1]]
['ECG2+']	[]	['SEEG']	[]	[[0], [0], [0]]	[]	[[1]]
"[""oc'10""]"	[]	['SEEG']	[]	[[-62], [-4], [11]]	[]	[[1]]
"[""g'1""]"	[]	['SEEG']	[]	[[-1], [43], [-1]]	[]	[[1]]
"[""g'2""]"	[]	['SEEG']	[]	[[-4], [43], [-1]]	[]	[[1]]
"[""g'3""]"	[]	['sEEG']	[]	[[-7], [43], [-1]]	[]	[[1]]
"[""g'4""]"	[]	['SEEG']	[]	[[-10], [43], [-1]]	[]	[[1]]
"[""g'5""]"	[]	['SEEG']	[]	[[-13], [43], [-1]]	[]	[[1]]
"[""g'6""]"	[]	['SEEG']	[]	[[-16], [43], [-1]]	[]	[[1]]
"[""g'7""]"	[]	['SEEG']	[]	[[-19], [43], [-1]]	[]	[[1]]
"[""g'8""]"	[]	['SEEG']	[]	[[-22], [43], [-1]]	[]	[[1]]
"[""g'9""]"	[]	['SEEG']	[]	[[-25], [43], [-1]]	[]	[[1]]
"[""g'10""]"	[]	['SEEG']	[]	[[-28], [43], [-1]]	[]	[[1]]
['MKR1+']	[]	['Misc']	[]	[[0], [0], [0]]	[]	[[1]]
"[""fd'1""]"	[]	['SEEG']	[]	[[-1], [36], [31]]	[]	[[1]]
"[""fd'2""]"	[]	['SEEG']	[]	[[-4], [36], [31]]	[]	[[1]]
"[""fd'3""]"	[]	['SEEG']	[]	[[-7], [36], [31]]	[]	[[1]]
"[""fd'4""]"	[]	['SEEG']	[]	[[-10], [36], [31]]	[]	[[1]]
"[""fd'5""]"	[]	['SEEG']	[]	[[-13], [36], [31]]	[]	[[1]]
"[""fd'6""]"	[]	['SEEG']	[]	[[-16], [36], [31]]	[]	[[1]]
"[""fd'7""]"	[]	['SEEG']	[]	[[-19], [36], [31]]	[]	[[1]]
"[""fd'8""]"	[]	['SEEG']	[]	[[-22], [36], [31]]	[]	[[1]]
"[""fd'9""]"	[]	['SEEG']	[]	[[-25], [36], [31]]	[]	[[1]]
"[""fd'10""]"	[]	['SEEG']	[]	[[-28], [36], [31]]	[]	[[1]]
['cc21']	[]	['SEEG']	[]	[[-1], [18], [29]]	[]	[[1]]
['cc22']	[]	['SEEG']	[]	[[-4], [18], [29]]	[]	[[1]]
['cc23']	[]	['SEEG']	[]	[[-7], [18], [29]]	[]	[[1]]
['cc24']	[]	['SEEG']	[]	[[-10], [18], [29]]	[]	[[1]]
['cc25']	[]	['SEEG']	[]	[[-13], [18], [29]]	[]	[[1]]
['cc26']	[]	['SEEG']	[]	[[-16], [18], [29]]	[]	[[1]]
['cc27']	[]	['SEEG']	[]	[[-19], [18], [29]]	[]	[[1]]
['cc28']	[]	['SEEG']	[]	[[-22], [18], [29]]	[]	[[1]]
['cc29']	[]	['SEEG']	[]	[[-25], [18], [29]]	[]	[[1]]
['cc210']	[]	['SEEG']	[]	[[-28], [18], [29]]	[]	[[1]]
"[""l'1""]"	[]	['SEEG']	[]	[[-2], [10], [45]]	[]	[[1]]
"[""l'2""]"	[]	['SEEG']	[]	[[-5], [10], [45]]	[]	[[1]]
"[""l'3""]"	[]	['SEEG']	[]	[[-8], [10], [45]]	[]	[[1]]
"[""l'4""]"	[]	['SEEG']	[]	[[-11], [10], [45]]	[]	[[1]]
"[""l'5""]"	[]	['SEEG']	[]	[[-14], [10], [45]]	[]	[[1]]
"[""l'6""]"	[]	['SEEG']	[]	[[-17], [10], [45]]	[]	[[1]]
"[""l'7""]"	[]	['SEEG']	[]	[[-20], [10], [45]]	[]	[[1]]
"[""l'8""]"	[]	['SEEG']	[]	[[-23], [10], [45]]	[]	[[1]]
"[""l'9""]"	[]	['SEEG']	[]	[[-26], [10], [45]]	[]	[[1]]
"[""l'10""]"	[]	['SEEG']	[]	[[-29], [10], [45]]	[]	[[1]]
"[""cp'1""]"	[]	['SEEG']	[]	[[-0.0], [-20.0], [38.0]]	[]	[[1]]
"[""cp'2""]"	[]	['SEEG']	[]	[[-3], [-20], [38]]	[]	[[1]]
"[""cp'3""]"	[]	['SEEG']	[]	[[-6], [-20], [38]]	[]	[[1]]
"[""cp'4""]"	[]	['SEEG']	[]	[[-9], [-20], [38]]	[]	[[1]]
"[""cp'5""]"	[]	['SEEG']	[]	[[-12], [-20], [38]]	[]	[[1]]
"[""cp'6""]"	[]	['SEEG']	[]	[[-15], [-20], [38]]	[]	[[1]]
"[""cp'7""]"	[]	['SEEG']	[]	[[-18], [-20], [38]]	[]	[[1]]
"[""cp'8""]"	[]	['SEEG']	[]	[[-21], [-20], [38]]	[]	[[1]]
"[""cp'9""]"	[]	['SEEG']	[]	[[-24], [-20], [38]]	[]	[[1]]
"[""cp'10""]"	[]	['SEEG']	[]	[[-27], [-20], [38]]	[]	[[1]]
['MKR2+']	[]	['Misc']	[]	[[0], [0], [0]]	[]	[[1]]
['cp1']	[]	['SEEG']	[]	[[-0.0], [-20.0], [38.0]]	[]	[[1]]
['cp2']	[]	['SEEG']	[]	[[3], [-20], [38]]	[]	[[1]]
['cp3']	[]	['SEEG']	[]	[[6], [-20], [38]]	[]	[[1]]
['cp4']	[]	['SEEG']	[]	[[9], [-20], [38]]	[]	[[1]]
['cp5']	[]	['SEEG']	[]	[[12], [-20], [38]]	[]	[[1]]
['cp6']	[]	['SEEG']	[]	[[15], [-20], [38]]	[]	[[1]]
['cp7']	[]	['SEEG']	[]	[[18], [-20], [38]]	[]	[[1]]
['cp8']	[]	['SEEG']	[]	[[21], [-20], [38]]	[]	[[1]]
['cp9']	[]	['SEEG']	[]	[[24], [-20], [38]]	[]	[[1]]
['cp10']	[]	['SEEG']	[]	[[27], [-20], [38]]	[]	[[1]]
"[""n'1""]"	[]	['SEEG']	[]	[[-2], [10], [45]]	[]	[[1]]
"[""n'2""]"	[]	['SEEG']	[]	[[-5], [10], [45]]	[]	[[1]]
"[""n'3""]"	[]	['SEEG']	[]	[[-8], [10], [45]]	[]	[[1]]
"[""n'4""]"	[]	['SEEG']	[]	[[-11], [10], [45]]	[]	[[1]]
"[""n'5""]"	[]	['SEEG']	[]	[[-14], [10], [45]]	[]	[[1]]
"[""n'6""]"	[]	['SEEG']	[]	[[-17], [10], [45]]	[]	[[1]]
"[""n'7""]"	[]	['SEEG']	[]	[[-20], [10], [45]]	[]	[[1]]
"[""n'8""]"	[]	['SEEG']	[]	[[-23], [10], [45]]	[]	[[1]]
"[""n'9""]"	[]	['SEEG']	[]	[[-26], [10], [45]]	[]	[[1]]
"[""n'10""]"	[]	['SEEG']	[]	[[-29], [10], [45]]	[]	[[1]]
"[""lp'1""]"	[]	['SEEG']	[]	[[-2], [-34], [59]]	[]	[[1]]
"[""lp'2""]"	[]	['SEEG']	[]	[[-5], [-34], [59]]	[]	[[1]]
"[""lp'3""]"	[]	['SEEG']	[]	[[-8], [-34], [59]]	[]	[[1]]
"[""lp'4""]"	[]	['SEEG']	[]	[[-11], [-34], [59]]	[]	[[1]]
"[""lp'5""]"	[]	['SEEG']	[]	[[-14], [-34], [59]]	[]	[[1]]
"[""lp'6""]"	[]	['SEEG']	[]	[[-17], [-34], [59]]	[]	[[1]]
"[""lp'7""]"	[]	['SEEG']	[]	[[-20], [-34], [59]]	[]	[[1]]
"[""lp'8""]"	[]	['SEEG']	[]	[[-23], [-34], [59]]	[]	[[1]]
"[""lp'9""]"	[]	['SEEG']	[]	[[-26], [-34], [59]]	[]	[[1]]
"[""lp'10""]"	[]	['SEEG']	[]	[[-29], [-34], [59]]	[]	[[1]]
"[""os'1""]"	[]	['SEEG']	[]	[[-4], [-2], [34]]	[]	[[1]]
"[""os'2""]"	[]	['SEEG']	[]	[[-5], [-4], [39]]	[]	[[1]]
"[""os'3""]"	[]	['SEEG']	[]	[[-7], [-7], [44]]	[]	[[1]]
"[""os'4""]"	[]	['SEEG']	[]	[[-9], [-9], [49]]	[]	[[1]]
"[""os'5""]"	[]	['SEEG']	[]	[[-11], [-12], [55]]	[]	[[1]]
"[""os'6""]"	[]	['SEEG']	[]	[[-13], [-14], [60]]	[]	[[1]]
"[""os'7""]"	[]	['SEEG']	[]	[[-14], [-17], [66]]	[]	[[1]]
"[""os'8""]"	[]	['SEEG']	[]	[[-17], [-20], [71]]	[]	[[1]]
"[""os'9""]"	[]	['SEEG']	[]	[[-18], [-22], [76]]	[]	[[1]]
"[""os'10""]"	[]	['SEEG']	[]	[[-20], [-25], [81]]	[]	[[1]]
['MKR3+']	[]	['Misc']	[]	[[0], [0], [0]]	[]	[[1]]
"[""pi'1""]"	[]	['SEEG']	[]	[[-2], [-48], [31]]	[]	[[1]]
"[""pi'2""]"	[]	['SEEG']	[]	[[-5], [-48], [31]]	[]	[[1]]
"[""pi'3""]"	[]	['SEEG']	[]	[[-8], [-48], [31]]	[]	[[1]]
"[""pi'4""]"	[]	['SEEG']	[]	[[-11], [-48], [31]]	[]	[[1]]
"[""pi'5""]"	[]	['SEEG']	[]	[[-14], [-48], [31]]	[]	[[1]]
"[""pi'6""]"	[]	['SEEG']	[]	[[-17], [-48], [31]]	[]	[[1]]
"[""pi'7""]"	[]	['SEEG']	[]	[[-20], [-48], [31]]	[]	[[1]]
"[""pi'8""]"	[]	['SEEG']	[]	[[-23], [-48], [31]]	[]	[[1]]
"[""pi'9""]"	[]	['SEEG']	[]	[[-26], [-48], [31]]	[]	[[1]]
"[""pi'10""]"	[]	['SEEG']	[]	[[-29], [-48], [31]]	[]	[[1]]
"[""pa'1""]"	[]	['SEEG']	[]	[[-2], [-58], [50]]	[]	[[1]]
"[""pa'2""]"	[]	['SEEG']	[]	[[-5], [-58], [50]]	[]	[[1]]
"[""pa'3""]"	[]	['SEEG']	[]	[[-8], [-58], [50]]	[]	[[1]]
"[""pa'4""]"	[]	['SEEG']	[]	[[-11], [-58], [50]]	[]	[[1]]
"[""pa'5""]"	[]	['SEEG']	[]	[[-14], [-58], [50]]	[]	[[1]]
"[""pa'6""]"	[]	['SEEG']	[]	[[-17], [-58], [50]]	[]	[[1]]
"[""pa'7""]"	[]	['SEEG']	[]	[[-20], [-58], [50]]	[]	[[1]]
"[""pa'8""]"	[]	['SEEG']	[]	[[-23], [-58], [50]]	[]	[[1]]
"[""pa'9""]"	[]	['SEEG']	[]	[[-26], [-58], [50]]	[]	[[1]]
"[""pa'10""]"	[]	['SEEG']	[]	[[-29], [-58], [50]]	[]	[[1]]
"[""cu'1""]"	[]	['SEEG']	[]	[[-1], [-75], [19]]	[]	[[1]]
"[""cu'2""]"	[]	['SEEG']	[]	[[-4], [-75], [19]]	[]	[[1]]
"[""cu'3""]"	[]	['SEEG']	[]	[[-7], [-75], [19]]	[]	[[1]]
"[""cu'4""]"	[]	['SEEG']	[]	[[-10], [-75], [19]]	[]	[[1]]
"[""cu'5""]"	[]	['SEEG']	[]	[[-13], [-75], [19]]	[]	[[1]]
"[""cu'6""]"	[]	['SEEG']	[]	[[-16], [-75], [19]]	[]	[[1]]
"[""cu'7""]"	[]	['SEEG']	[]	[[-19], [-75], [19]]	[]	[[1]]
"[""cu'8""]"	[]	['SEEG']	[]	[[-22], [-75], [19]]	[]	[[1]]
"[""cu'9""]"	[]	['SEEG']	[]	[[-25], [-75], [19]]	[]	[[1]]
"[""cu'10""]"	[]	['SEEG']	[]	[[-28], [-75], [19]]	[]	[[1]]
['MKR4+']	[]	['Misc']	[]	[[0], [0], [0]]	[]	[[1]]
['Annotations']	[]	['EDF']	[]	[[0], [0], [0]]	[]	[[1]]
['t1']	[]	['SEEG']	[]	[[22], [10], [-32]]	[]	[[1]]
['t2']	[]	['SEEG']	[]	[[25], [10], [-32]]	[]	[[1]]
['t3']	[]	['SEEG']	[]	[[28], [10], [-32]]	[]	[[1]]
['t4']	[]	['SEEG']	[]	[[31], [10], [-32]]	[]	[[1]]
['t5']	[]	['SEEG']	[]	[[34], [10], [-32]]	[]	[[1]]
['t6']	[]	['SEEG']	[]	[[37], [10], [-32]]	[]	[[1]]
['t7']	[]	['SEEG']	[]	[[40], [10], [-32]]	[]	[[1]]
['t8']	[]	['SEEG']	[]	[[43], [10], [-32]]	[]	[[1]]
['t9']	[]	['SEEG']	[]	[[46], [10], [-32]]	[]	[[1]]
['t10']	[]	['SEEG']	[]	[[49], [10], [-32]]	[]	[[1]]
['o1']	[]	['SEEG']	[]	[[2], [7], [-27]]	[]	[[1]]
['o2']	[]	['SEEG']	[]	[[5], [27], [-25]]	[]	[[1]]
['o3']	[]	['SEEG']	[]	[[8], [27], [-23]]	[]	[[1]]
['o4']	[]	['SEEG']	[]	[[11], [27], [-21]]	[]	[[1]]
['o5']	[]	['SEEG']	[]	[[14], [27], [-19]]	[]	[[1]]
['o6']	[]	['SEEG']	[]	[[17], [27], [-18]]	[]	[[1]]
['o7']	[]	['SEEG']	[]	[[20], [27], [-16]]	[]	[[1]]
['o8']	[]	['SEEG']	[]	[[23], [27], [-14]]	[]	[[1]]
['o9']	[]	['SEEG']	[]	[[26], [27], [-13]]	[]	[[1]]
['o10']	[]	['SEEG']	[]	[[30], [27], [-11]]	[]	[[1]]
['oc1']	[]	['SEEG']	[]	[[35], [-4], [11]]	[]	[[1]]
['oc2']	[]	['SEEG']	[]	[[38], [-4], [11]]	[]	[[1]]
['oc3']	[]	['SEEG']	[]	[[41], [-4], [11]]	[]	[[1]]
['oc4']	[]	['SEEG']	[]	[[44], [-4], [11]]	[]	[[1]]
['oc5']	[]	['SEEG']	[]	[[47], [-4], [11]]	[]	[[1]]
['oc6']	[]	['SEEG']	[]	[[50], [-4], [11]]	[]	[[1]]
['oc7']	[]	['SEEG']	[]	[[53], [-4], [11]]	[]	[[1]]
['oc8']	[]	['SEEG']	[]	[[56], [-4], [11]]	[]	[[1]]
['oc9']	[]	['SEEG']	[]	[[59], [-4], [11]]	[]	[[1]]
['oc10']	[]	['SEEG']	[]	[[62], [-4], [11]]	[]	[[1]]
['g1']	[]	['SEEG']	[]	[[1], [43], [-1]]	[]	[[1]]
['g2']	[]	['SEEG']	[]	[[4], [43], [-1]]	[]	[[1]]
['g3']	[]	['sEEG']	[]	[[7], [43], [-1]]	[]	[[1]]
['g4']	[]	['SEEG']	[]	[[10], [43], [-1]]	[]	[[1]]
['g5']	[]	['SEEG']	[]	[[13], [43], [-1]]	[]	[[1]]
['g6']	[]	['SEEG']	[]	[[16], [43], [-1]]	[]	[[1]]
['g7']	[]	['SEEG']	[]	[[19], [43], [-1]]	[]	[[1]]
['g8']	[]	['SEEG']	[]	[[22], [43], [-1]]	[]	[[1]]
['g9']	[]	['SEEG']	[]	[[25], [43], [-1]]	[]	[[1]]
['g10']	[]	['SEEG']	[]	[[28], [43], [-1]]	[]	[[1]]
['fd1']	[]	['SEEG']	[]	[[1], [36], [31]]	[]	[[1]]
['fd2']	[]	['SEEG']	[]	[[4], [36], [31]]	[]	[[1]]
['fd3']	[]	['SEEG']	[]	[[7], [36], [31]]	[]	[[1]]
['fd4']	[]	['SEEG']	[]	[[10], [36], [31]]	[]	[[1]]
['fd5']	[]	['SEEG']	[]	[[13], [36], [31]]	[]	[[1]]
['fd6']	[]	['SEEG']	[]	[[16], [36], [31]]	[]	[[1]]
['fd7']	[]	['SEEG']	[]	[[19], [36], [31]]	[]	[[1]]
['fd8']	[]	['SEEG']	[]	[[22], [36], [31]]	[]	[[1]]
['fd9']	[]	['SEEG']	[]	[[25], [36], [31]]	[]	[[1]]
['fd10']	[]	['SEEG']	[]	[[28], [36], [31]]	[]	[[1]]
['cc21']	[]	['SEEG']	[]	[[1], [18], [29]]	[]	[[1]]
['cc22']	[]	['SEEG']	[]	[[4], [18], [29]]	[]	[[1]]
['cc23']	[]	['SEEG']	[]	[[7], [18], [29]]	[]	[[1]]
['cc24']	[]	['SEEG']	[]	[[10], [18], [29]]	[]	[[1]]
['cc25']	[]	['SEEG']	[]	[[13], [18], [29]]	[]	[[1]]
['cc26']	[]	['SEEG']	[]	[[16], [18], [29]]	[]	[[1]]
['cc27']	[]	['SEEG']	[]	[[19], [18], [29]]	[]	[[1]]
['cc28']	[]	['SEEG']	[]	[[22], [18], [29]]	[]	[[1]]
['cc29']	[]	['SEEG']	[]	[[25], [18], [29]]	[]	[[1]]
['cc210']	[]	['SEEG']	[]	[[28], [18], [29]]	[]	[[1]]
['n1']	[]	['SEEG']	[]	[[2], [10], [45]]	[]	[[1]]
['n2']	[]	['SEEG']	[]	[[5], [10], [45]]	[]	[[1]]
['n3']	[]	['SEEG']	[]	[[8], [10], [45]]	[]	[[1]]
['n4']	[]	['SEEG']	[]	[[11], [10], [45]]	[]	[[1]]
['n5']	[]	['SEEG']	[]	[[14], [10], [45]]	[]	[[1]]
['n6']	[]	['SEEG']	[]	[[17], [10], [45]]	[]	[[1]]
['n7']	[]	['SEEG']	[]	[[20], [10], [45]]	[]	[[1]]
['n8']	[]	['SEEG']	[]	[[23], [10], [45]]	[]	[[1]]
['n9']	[]	['SEEG']	[]	[[26], [10], [45]]	[]	[[1]]
['n10']	[]	['SEEG']	[]	[[29], [10], [45]]	[]	[[1]]
['cp1']	[]	['SEEG']	[]	[[-0.0], [-20.0], [38.0]]	[]	[[1]]
['cp2']	[]	['SEEG']	[]	[[3], [-20], [38]]	[]	[[1]]
['cp3']	[]	['SEEG']	[]	[[6], [-20], [38]]	[]	[[1]]
['cp4']	[]	['SEEG']	[]	[[9], [-20], [38]]	[]	[[1]]
['cp5']	[]	['SEEG']	[]	[[12], [-20], [38]]	[]	[[1]]
['cp6']	[]	['SEEG']	[]	[[15], [-20], [38]]	[]	[[1]]
['cp7']	[]	['SEEG']	[]	[[18], [-20], [38]]	[]	[[1]]
['cp8']	[]	['SEEG']	[]	[[21], [-20], [38]]	[]	[[1]]
['cp9']	[]	['SEEG']	[]	[[24], [-20], [38]]	[]	[[1]]
['cp10']	[]	['SEEG']	[]	[[27], [-20], [38]]	[]	[[1]]
['lp1']	[]	['SEEG']	[]	[[2], [-34], [59]]	[]	[[1]]
['lp2']	[]	['SEEG']	[]	[[5], [-34], [59]]	[]	[[1]]
['lp3']	[]	['SEEG']	[]	[[8], [-34], [59]]	[]	[[1]]
['lp4']	[]	['SEEG']	[]	[[11], [-34], [59]]	[]	[[1]]
['lp5']	[]	['SEEG']	[]	[[14], [-34], [59]]	[]	[[1]]
['lp6']	[]	['SEEG']	[]	[[17], [-34], [59]]	[]	[[1]]
['lp7']	[]	['SEEG']	[]	[[20], [-34], [59]]	[]	[[1]]
['lp8']	[]	['SEEG']	[]	[[23], [-34], [59]]	[]	[[1]]
['lp9']	[]	['SEEG']	[]	[[26], [-34], [59]]	[]	[[1]]
['lp10']	[]	['SEEG']	[]	[[29], [-34], [59]]	[]	[[1]]
['os1']	[]	['SEEG']	[]	[[4], [-2], [34]]	[]	[[1]]
['os2']	[]	['SEEG']	[]	[[5], [-4], [39]]	[]	[[1]]
['os3']	[]	['SEEG']	[]	[[7], [-7], [44]]	[]	[[1]]
['os4']	[]	['SEEG']	[]	[[9], [-9], [49]]	[]	[[1]]
['os5']	[]	['SEEG']	[]	[[11], [-12], [55]]	[]	[[1]]
['os6']	[]	['SEEG']	[]	[[13], [-14], [60]]	[]	[[1]]
['os7']	[]	['SEEG']	[]	[[14], [-17], [66]]	[]	[[1]]
['os8']	[]	['SEEG']	[]	[[17], [-20], [71]]	[]	[[1]]
['os9']	[]	['SEEG']	[]	[[18], [-22], [76]]	[]	[[1]]
['os10']	[]	['SEEG']	[]	[[20], [-25], [81]]	[]	[[1]]
['pi1']	[]	['SEEG']	[]	[[2], [-48], [31]]	[]	[[1]]
['pi2']	[]	['SEEG']	[]	[[5], [-48], [31]]	[]	[[1]]
['pi3']	[]	['SEEG']	[]	[[8], [-48], [31]]	[]	[[1]]
['pi4']	[]	['SEEG']	[]	[[11], [-48], [31]]	[]	[[1]]
['pi5']	[]	['SEEG']	[]	[[14], [-48], [31]]	[]	[[1]]
['pi6']	[]	['SEEG']	[]	[[17], [-48], [31]]	[]	[[1]]
['pi7']	[]	['SEEG']	[]	[[20], [-48], [31]]	[]	[[1]]
['pi8']	[]	['SEEG']	[]	[[23], [-48], [31]]	[]	[[1]]
['pi9']	[]	['SEEG']	[]	[[26], [-48], [31]]	[]	[[1]]
['pi10']	[]	['SEEG']	[]	[[29], [-48], [31]]	[]	[[1]]
['pa1']	[]	['SEEG']	[]	[[2], [-58], [50]]	[]	[[1]]
['pa2']	[]	['SEEG']	[]	[[5], [-58], [50]]	[]	[[1]]
['pa3']	[]	['SEEG']	[]	[[8], [-58], [50]]	[]	[[1]]
['pa4']	[]	['SEEG']	[]	[[11], [-58], [50]]	[]	[[1]]
['pa5']	[]	['SEEG']	[]	[[14], [-58], [50]]	[]	[[1]]
['pa6']	[]	['SEEG']	[]	[[17], [-58], [50]]	[]	[[1]]
['pa7']	[]	['SEEG']	[]	[[20], [-58], [50]]	[]	[[1]]
['pa8']	[]	['SEEG']	[]	[[23], [-58], [50]]	[]	[[1]]
['pa9']	[]	['SEEG']	[]	[[26], [-58], [50]]	[]	[[1]]
['pa10']	[]	['SEEG']	[]	[[29], [-58], [50]]	[]	[[1]]
['cu1']	[]	['SEEG']	[]	[[1], [-75], [19]]	[]	[[1]]
['cu2']	[]	['SEEG']	[]	[[4], [-75], [19]]	[]	[[1]]
['cu3']	[]	['SEEG']	[]	[[7], [-75], [19]]	[]	[[1]]
['cu4']	[]	['SEEG']	[]	[[10], [-75], [19]]	[]	[[1]]
['cu5']	[]	['SEEG']	[]	[[13], [-75], [19]]	[]	[[1]]
['cu6']	[]	['SEEG']	[]	[[16], [-75], [19]]	[]	[[1]]
['cu7']	[]	['SEEG']	[]	[[19], [-75], [19]]	[]	[[1]]
['cu8']	[]	['SEEG']	[]	[[22], [-75], [19]]	[]	[[1]]
['cu9']	[]	['SEEG']	[]	[[25], [-75], [19]]	[]	[[1]]
['cu10']	[]	['SEEG']	[]	[[28], [-75], [19]]	[]	[[1]]
